imageId,distance(km),imageFraction
C0945336,93559814,0.07112
C0945343,93554187,0.07113
C0945350,93548560,0.00951
C0945751,93354833,0.07128
C0945757,93350010,0.07128
C0945804,93344383,0.07129
C0945811,93338756,0.07129
C0945818,93333129,0.00953
C0946219,93139420,0.07144
C0946225,93134597,0.07145
C0946232,93128970,0.07145
C0946239,93123343,0.07146
C0946246,93117716,0.00956
C0946304,93103247,0.07147
C0946647,92923990,0.07161
C0946653,92919167,0.07161
C0946700,92913540,0.07162
C0946707,92907914,0.07162
C0946714,92902287,0.00958
C0947115,92708562,0.07178
C0947121,92703739,0.07178
C0947128,92698112,0.07178
C0947135,92692485,0.07179
C0947142,92686858,0.0096
C0947543,92493134,0.07194
C0947549,92488311,0.07195
C0947556,92482685,0.07195
C0947603,92477058,0.07196
C0947610,92471431,0.00962
C0947639,92448120,0.00963
C0947645,92443297,0.00963
C0947652,92437670,0.07199
C0947659,92432043,0.07199
C0947708,92424809,0.00963
C0947725,92411144,0.07201
C0947731,92406321,0.07201
C0947737,92401498,0.07201
C0947743,92396675,0.07202
C0947750,92391048,0.07202
C0947757,92385421,0.07203
C0947803,92380598,0.07203
C0947809,92375775,0.07203
C0947815,92370952,0.07204
C0947821,92366129,0.07204
C0947828,92360502,0.07205
C0947835,92354875,0.07205
C0947841,92350052,0.07205
C0947847,92345229,0.07206
C0947853,92340406,0.07206
C0947859,92335583,0.07207
C0947906,92329957,0.07207
C0947913,92324330,0.07207
C0947920,92318703,0.07208
C0947926,92313880,0.07208
C0947932,92309057,0.07209
C0947938,92304234,0.07209
C0947944,92299411,0.07209
C0947951,92293784,0.0721
C0947958,92288157,0.0721
C0948004,92283334,0.07211
C0948010,92278511,0.07211
C0948016,92273688,0.07211
C0948022,92268865,0.07212
C0948029,92263239,0.07212
C0948036,92257612,0.07213
C0948042,92252789,0.07213
C0948048,92247966,0.07213
C0948054,92243143,0.07214
C0948100,92238320,0.07214
C0948107,92232693,0.07215
C0948114,92227066,0.07215
C0948121,92221439,0.07215
C0948127,92216616,0.07216
C0948133,92211794,0.07216
C0948139,92206971,0.07217
C0948145,92202148,0.07217
C0948152,92196521,0.07217
C0948159,92190894,0.07218
C0948205,92186071,0.07218
C0948211,92181248,0.07219
C0948217,92176425,0.07219
C0948223,92171602,0.07219
C0948230,92165975,0.0722
C0948237,92160348,0.0722
C0948243,92155525,0.07221
C0948249,92150702,0.07221
C0948255,92145879,0.07221
C0948301,92141057,0.07222
C0948308,92135430,0.07222
C0948315,92129803,0.07223
C0948321,92124980,0.07223
C0948327,92120157,0.07223
C0948333,92115334,0.07224
C0948340,92109707,0.07224
C0948347,92104080,0.07225
C0948414,92082377,0.07226
C0948425,92073535,0.07227
C0948436,92064693,0.07228
C0948447,92055851,0.07228
C0948458,92047009,0.07229
C0948509,92038166,0.0723
C0948520,92029324,0.07231
C0948531,92020482,0.07231
C0948542,92011640,0.07232
C0948553,92002798,0.07233
C0948604,91993956,0.07233
C0948615,91985114,0.07234
C0948626,91976272,0.07235
C0948637,91967430,0.07235
C0948648,91958587,0.07236
C0948659,91949745,0.07237
C0948710,91940903,0.07238
C0948721,91932061,0.07238
C0948732,91923219,0.07239
C0948743,91914377,0.0724
C0948754,91905535,0.0724
C0948805,91896693,0.07241
C0948816,91887851,0.07242
C0948827,91879008,0.07242
C0948838,91870166,0.07243
C0948849,91861324,0.07244
C0948900,91852482,0.07244
C0948911,91843640,0.07245
C0948922,91834798,0.07246
C0948933,91825956,0.07247
C0948944,91817114,0.07247
C0948955,91808272,0.07248
C0949006,91799430,0.07249
C0949017,91790587,0.07249
C0949028,91781745,0.0725
C0949039,91772903,0.07251
C0949050,91764061,0.07251
C0949101,91755219,0.07252
C0949112,91746377,0.07253
C0949123,91737535,0.07254
C0949134,91728693,0.07254
C0949145,91719851,0.07255
C0949156,91711009,0.07256
C0949207,91702166,0.07256
C0949218,91693324,0.07257
C0949229,91684482,0.07258
C0949240,91675640,0.07258
C0949251,91666798,0.07259
C0949302,91657956,0.0726
C0949313,91649114,0.07261
C0949324,91640272,0.07261
C0949335,91631430,0.07262
C0949346,91622588,0.07263
C0949357,91613745,0.07263
C0949408,91604903,0.07264
C0949419,91596061,0.07265
C0949430,91587219,0.07265
C0949441,91578377,0.07266
C0949452,91569535,0.07267
C0949503,91560693,0.07268
C0949514,91551851,0.07268
C0949525,91543009,0.07269
C0949536,91534167,0.0727
C0949547,91525324,0.0727
C0949558,91516482,0.07271
C0949609,91507640,0.07272
C0949620,91498798,0.07272
C0949631,91489956,0.07273
C0949642,91481114,0.07274
C0949653,91472272,0.07275
C0949704,91463430,0.07275
C0949715,91454588,0.07276
C0949726,91445746,0.07277
C0949737,91436903,0.07277
C0949748,91428061,0.07278
C0950556,90961191,0.00401
C0950614,87423311,0.00052
C0950623,91014090,0.07311
C0950659,90985152,0.07314
C0950705,90980329,0.07314
C0950711,90975506,0.07314
C0950718,90969879,0.07315
C0950725,90964252,0.07315
C0951125,90771333,0.07331
C0951131,90766510,0.07331
C0951137,90761687,0.07332
C0951144,90756060,0.07332
C0951151,90750433,0.07332
C0951555,90553795,0.07348
C0951601,90548972,0.07349
C0951608,90543345,0.07349
C0951615,90537718,0.0735
C0951622,90532092,0.00983
