fileid,volume,phase,craft,target,instrument,filter,note
C1471538,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471540,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471803,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471805,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471807,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1471809,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472032,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472034,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472036,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472038,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472301,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472303,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472305,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472307,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472530,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472532,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472534,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472536,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
